;Anuncios;INEM;ETTs;Contactos;Oposiciones;Autonomo;Otra
i_0054;Anuncios_si;INEM_si;ETTs_no;Contactos_no;Oposiciones_no;Autonomo_no;Otra_no
i_0055;Anuncios_si;INEM_si;ETTs_no;Contactos_si;Oposiciones_si;Autonomo_no;Otra_no
i_0056;Anuncios_si;INEM_no;ETTs_no;Contactos_no;Oposiciones_no;Autonomo_no;Otra_no
i_0058;Anuncios_si;INEM_si;ETTs_si;Contactos_no;Oposiciones_si;Autonomo_no;Otra_no
i_0059;Anuncios_si;INEM_si;ETTs_no;Contactos_no;Oposiciones_si;Autonomo_no;Otra_no
i_0060;Anuncios_si;INEM_si;ETTs_si;Contactos_no;Oposiciones_no;Autonomo_no;Otra_si
i_0061;Anuncios_si;INEM_si;ETTs_no;Contactos_no;Oposiciones_si;Autonomo_no;Otra_no
i_0062;Anuncios_si;INEM_si;ETTs_si;Contactos_no;Oposiciones_no;Autonomo_no;Otra_no
i_0063;Anuncios_no;INEM_si;ETTs_no;Contactos_si;Oposiciones_si;Autonomo_no;Otra_no
i_0064;Anuncios_si;INEM_si;ETTs_si;Contactos_si;Oposiciones_si;Autonomo_no;Otra_si
i_0065;Anuncios_si;INEM_si;ETTs_no;Contactos_si;Oposiciones_no;Autonomo_no;Otra_no
i_0066;Anuncios_si;INEM_si;ETTs_si;Contactos_si;Oposiciones_si;Autonomo_no;Otra_no
i_0067;Anuncios_si;INEM_si;ETTs_no;Contactos_si;Oposiciones_no;Autonomo_si;Otra_no
i_0068;Anuncios_si;INEM_no;ETTs_no;Contactos_si;Oposiciones_no;Autonomo_si;Otra_no
i_0069;Anuncios_si;INEM_no;ETTs_no;Contactos_si;Oposiciones_no;Autonomo_no;Otra_no
i_0070;Anuncios_si;INEM_si;ETTs_si;Contactos_no;Oposiciones_no;Autonomo_si;Otra_no
i_0071;Anuncios_si;INEM_no;ETTs_si;Contactos_si;Oposiciones_si;Autonomo_no;Otra_no
i_0072;Anuncios_si;INEM_si;ETTs_no;Contactos_no;Oposiciones_no;Autonomo_no;Otra_no
i_0073;Anuncios_no;INEM_no;ETTs_no;Contactos_no;Oposiciones_no;Autonomo_no;Otra_si
i_0074;Anuncios_si;INEM_no;ETTs_no;Contactos_si;Oposiciones_no;Autonomo_no;Otra_no
i_0075;Anuncios_si;INEM_si;ETTs_si;Contactos_no;Oposiciones_no;Autonomo_no;Otra_no
i_0077;Anuncios_si;INEM_no;ETTs_no;Contactos_si;Oposiciones_no;Autonomo_si;Otra_no
i_0078;Anuncios_si;INEM_si;ETTs_si;Contactos_si;Oposiciones_si;Autonomo_no;Otra_no
i_0079;Anuncios_si;INEM_si;ETTs_si;Contactos_si;Oposiciones_si;Autonomo_no;Otra_no
i_0080;Anuncios_si;INEM_si;ETTs_no;Contactos_si;Oposiciones_si;Autonomo_si;Otra_no
i_0081;Anuncios_si;INEM_si;ETTs_no;Contactos_no;Oposiciones_no;Autonomo_no;Otra_no
i_0083;Anuncios_si;INEM_si;ETTs_no;Contactos_no;Oposiciones_no;Autonomo_si;Otra_no
i_0084;Anuncios_si;INEM_no;ETTs_no;Contactos_si;Oposiciones_no;Autonomo_no;Otra_no
i_0086;Anuncios_si;INEM_si;ETTs_si;Contactos_si;Oposiciones_no;Autonomo_no;Otra_no
i_0087;Anuncios_si;INEM_si;ETTs_si;Contactos_si;Oposiciones_no;Autonomo_no;Otra_no
i_0088;Anuncios_no;INEM_si;ETTs_si;Contactos_si;Oposiciones_no;Autonomo_no;Otra_si
